NestID,Length,TotalLength,ItemNumber,RemainingLength
11463,960,8000,00736,0
11465,2554,7988,01632,12
11465,2466,7988,01683,12
11465,1486,7988,01684,12
11466,2403,7981,00509,19
11466,2401,7981,01083,19
11467,2466,7479,01677,521
11467,2466,7479,01680,521
11469,2392,7180,00510,820
11469,2392,7180,00511,820
11470,2195,6134,01687,1866
11470,2042,6134,00685,1866
11455,493,6000,01224,0
11455,422,6000,01229,0
11456,447,6000,02300,0
11456,447,6000,02301,0
11456,424,6000,01225,0
11457,286,1599,02302,4401
11458,662,4689,02299,0
11458,336,4689,00607,0
11460,446,8000,01874,0
11460,446,8000,02430,0
11460,446,8000,02431,0
11460,446,8000,02432,0
11460,387,8000,01246,0
11460,387,8000,01247,0
11461,2546,8000,00529,0
11461,664,8000,00528,0
11462,1374,8000,01245,0
11463,1897,8000,00507,0
11463,925,8000,00527,0
11463,925,8000,01528,0
11464,925,8000,00423,0
11470,1897,6134,00506,1866
11458,618,4689,00604,0
11458,476,4689,02502,0
11458,99,4689,01851,0
11459,501,8000,01328,0
11460,476,8000,02501,0
11461,99,8000,01837,0
11461,99,8000,01849,0
11462,575,8000,01228,0
11462,544,8000,01227,0
11193,2188,4111,UG32-0886-S,42
11194,2188,7966,UG32-0844-S,34
11195,7950,7950,UG32-0009-S,50
11197,3354,7947,UG32-0692-S,53
11198,7947,7947,UG32-0010-S,53
11199,7917,7917,UG32-0037-S,83
11200,6901,7740,UG32-0011-S,260
11201,2188,7268,UG32-0800-S,732
11458,350,4689,02495,0
11458,349,4689,02492,0
11458,349,4689,02498,0
11458,273,4689,02500,0
11459,1388,8000,02484,0
11460,494,8000,02494,0
11460,494,8000,02497,0
11462,1474,8000,02488,0
1021,366,6124,00065,38
1021,366,6124,00067,38
1021,366,6124,00068,38
10288,253,747,03387,2656
10288,247,747,02907,2656
10288,247,747,02923,2656
10289,2639,3242,03555,663
10290,2096,2096,03533,3904
10291,155,465,02914,4215
10291,155,465,03397,4215
10291,155,465,02924,4215
10298,223,3843,02927,0
10298,208,3843,03539,0
1017,1723,1723,02310,10002
10289,603,3242,03532,663
11454,701,701,02033,2909
10259,342,1605,02936,405
10259,192,1605,02878,405
10260,463,463,03490,5537
10261,485,4983,03743,0
10261,475,4983,03981,0
10261,359,4983,02542,0
